,obstacle_density,food_density,nr_hives,Run,baby_bee,death_age,food,forage_bee,n_bees,n_births,n_deaths,rest_bee,scout_bee,width,height
108,20,5,3,108,0,0,47.00000000000002,1,120,0,0,3,116,50,50
109,20,5,3,109,0,0,50.00000000000004,3,120,0,0,1,116,50,50
110,20,5,5,110,0,0,147.9858791979999,9,203,0,0,6,188,50,50
111,20,5,5,111,0,0,82.40000000000006,7,200,0,0,8,185,50,50
112,20,5,5,112,0,0,136.60000000000002,7,200,0,0,6,187,50,50
113,20,5,5,113,0,0,129.59873647807424,5,201,0,0,3,193,50,50
114,20,5,5,114,0,0,88.60000000000011,15,200,0,0,4,181,50,50
115,20,5,5,115,0,0,120.39999999999985,10,200,0,0,3,187,50,50
116,20,5,5,116,0,0,92.20000000000005,10,200,0,0,4,186,50,50
117,20,5,5,117,0,0,119.40000000000006,7,200,0,0,6,187,50,50
118,20,5,5,118,0,0,103.39799999999985,11,201,0,0,4,186,50,50
119,20,5,5,119,0,0,103.19999999999989,3,200,0,0,4,193,50,50
120,20,10,1,120,0,0,36.599999999999966,3,40,0,0,1,36,50,50
121,20,10,1,121,0,0,40.59999999999995,3,40,0,0,3,34,50,50
122,20,10,1,122,0,0,51.99999999999987,2,40,0,0,4,34,50,50
123,20,10,1,123,0,0,47.399999999999906,8,40,0,0,2,30,50,50
124,20,10,1,124,0,0,91.39197999999972,9,40,0,0,1,30,50,50
125,20,10,1,125,0,0,62.99999999999983,9,40,0,0,2,29,50,50
126,20,10,1,126,0,0,67.31050307541831,3,41,0,0,2,36,50,50
127,20,10,1,127,0,0,59.99999999999986,4,40,0,0,3,33,50,50
128,20,10,1,128,0,0,75.79193979999987,1,40,0,0,4,35,50,50
129,20,10,1,129,0,0,56.19799999999988,4,40,0,0,1,35,50,50
130,20,10,3,130,0,0,128.39799999999988,6,121,0,0,9,106,50,50
131,20,10,3,131,0,0,131.3999999999998,9,120,0,0,7,104,50,50
132,20,10,3,132,0,0,92.59397999999993,8,122,0,0,4,110,50,50
133,20,10,3,133,0,0,209.94957698797958,17,122,0,0,13,92,50,50
134,20,10,3,134,0,0,164.3939799999996,14,121,0,0,5,102,50,50
135,20,10,3,135,0,0,178.1899397999996,13,120,0,0,7,100,50,50
136,20,10,3,136,0,0,141.59799999999967,11,120,0,0,4,105,50,50
137,20,10,3,137,0,0,136.77779798997983,10,122,1,0,4,108,50,50
138,20,10,3,138,0,0,172.19597999999948,16,121,0,0,6,99,50,50
139,20,10,3,139,0,0,125.58591979999983,12,121,0,0,4,105,50,50
140,20,10,5,140,0,0,186.7858189979998,12,202,0,0,5,185,50,50
141,20,10,5,141,0,0,274.7232145779594,17,203,0,0,7,179,50,50
142,20,10,5,142,0,0,276.59199999999936,16,202,0,0,11,175,50,50
143,20,10,5,143,0,0,170.77185959999986,8,205,0,0,9,188,50,50
144,20,10,5,144,0,0,269.76589999999953,16,204,0,0,10,178,50,50
145,20,10,5,145,0,0,247.5798591979995,11,201,0,0,8,182,50,50
146,20,10,5,146,0,0,185.3879197999998,15,202,0,0,7,180,50,50
147,20,10,5,147,0,0,121.78599999999997,4,201,0,0,3,194,50,50
148,20,10,5,148,0,0,206.79999999999964,13,200,0,0,4,183,50,50
149,20,10,5,149,0,0,228.58791979999955,14,200,0,0,9,177,50,50
150,20,20,1,150,0,0,110.78393999999963,5,41,1,0,4,32,50,50
151,20,20,1,151,0,0,81.79597999999979,6,40,0,0,3,31,50,50
152,20,20,1,152,0,0,89.58185959999977,5,41,0,0,5,31,50,50
153,20,20,1,153,0,0,79.79599999999978,6,40,0,0,5,29,50,50
154,20,20,1,154,0,0,141.16581960000042,10,40,0,0,2,28,50,50
155,20,20,1,155,0,0,87.97767718797972,7,40,0,0,4,29,50,50
156,20,20,1,156,0,0,83.72284275417285,3,40,0,0,3,34,50,50
157,20,20,1,157,0,0,125.76977899799965,10,40,0,0,4,26,50,50
158,20,20,1,158,0,0,98.18791979999969,4,40,0,0,2,34,50,50
159,20,20,1,159,0,0,95.99799999999972,6,40,0,0,7,27,50,50
160,20,20,3,160,0,0,318.51941759599924,17,120,0,0,13,90,50,50
161,20,20,3,161,0,0,344.2327149919993,16,120,0,0,12,92,50,50
162,20,20,3,162,0,0,288.3799599999992,19,121,0,0,9,93,50,50
163,20,20,3,163,0,0,340.44459116593913,19,121,0,0,13,89,50,50
164,20,20,3,164,0,0,335.54377959999897,21,120,0,0,14,85,50,50
165,20,20,3,165,0,0,261.5171933638793,13,122,1,0,11,98,50,50
166,20,20,3,166,0,0,284.9326560299326,12,123,0,0,5,106,50,50
167,20,20,3,167,0,0,301.94965859799925,19,121,0,0,9,93,50,50
168,20,20,3,168,0,0,281.70846165731746,13,123,0,0,12,98,50,50
169,20,20,3,169,0,0,265.1939999999992,15,120,0,0,10,95,50,50
170,20,20,5,170,0,0,323.9679599999993,17,203,0,0,11,175,50,50
171,20,20,5,171,0,0,501.8674110504554,27,209,1,0,14,168,50,50
172,20,20,5,172,0,0,417.1117799999992,17,205,1,0,18,170,50,50
173,20,20,5,173,0,0,397.68509518597915,20,204,0,0,10,174,50,50
174,20,20,5,174,0,0,485.1367887849759,25,206,0,0,13,168,50,50
175,20,20,5,175,0,0,418.77570960587195,17,204,0,0,9,178,50,50
176,20,20,5,176,0,0,278.97173879799936,16,202,0,0,6,180,50,50
177,20,20,5,177,0,0,427.2565069155775,30,206,0,0,12,164,50,50
178,20,20,5,178,0,0,415.1352545779589,26,202,0,0,15,161,50,50
179,20,20,5,179,0,0,455.6391441125344,26,206,1,0,10,170,50,50
180,30,5,1,180,0,0,29.000000000000018,2,40,0,0,0,38,50,50
181,30,5,1,181,0,0,32.8,2,40,0,0,3,35,50,50
182,30,5,1,182,0,0,22.00000000000003,1,40,0,0,1,38,50,50
183,30,5,1,183,0,0,34.40000000000002,1,40,0,0,1,38,50,50
184,30,5,1,184,0,0,12.400000000000007,0,40,0,0,0,40,50,50
185,30,5,1,185,0,0,17.000000000000025,3,40,0,0,1,36,50,50
186,30,5,1,186,0,0,28.59800000000002,3,41,0,0,2,36,50,50
187,30,5,1,187,0,0,34.19999999999992,2,40,0,0,0,38,50,50
188,30,5,1,188,0,0,28.000000000000025,2,40,0,0,2,36,50,50
189,30,5,1,189,0,0,37.79999999999994,3,40,0,0,1,36,50,50
190,30,5,3,190,0,0,119.58995999999979,10,123,1,0,5,108,50,50
