,HiveID,FoodLocs
81,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
82,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
83,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
84,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
85,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
86,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
87,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
88,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
89,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
90,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
91,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
92,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
93,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
94,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
95,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
96,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
97,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
98,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
99,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
100,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (30, 8), (22, 14), (29, 17), (40, 14), (23, 12), (21, 8), (33, 3)]"
101,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
