,Bees,HiveFood,Scout bees,Foraging bees,Rester bees,Baby bees,Scout bees_death_count,Foraging bees_death_count,Rester bees_death_count
114,80,131.75175940000037,58,8,14,0,0,0,0
115,80,129.5517594000005,57,9,14,0,0,0,0
116,80,127.75175940000057,58,10,12,0,0,0,0
117,80,126.35175940000055,60,10,10,0,0,0,0
118,80,125.15175940000053,62,9,9,0,0,0,0
119,80,123.95175940000051,62,9,9,0,0,0,0
120,80,122.9517594000005,61,10,9,0,0,0,0
121,80,121.95175940000048,62,9,9,0,0,0,0
122,80,121.14375940000049,65,8,7,0,0,0,0
123,80,120.53169940000049,65,9,6,0,0,0,0
124,80,124.9135188000005,65,8,7,0,0,0,0
125,80,129.08103559200052,66,5,9,0,0,0,0
126,80,128.03002554190053,67,4,9,0,0,0,0
127,80,126.96850539129956,67,4,9,0,0,0,0
128,80,130.8963700391925,66,4,10,0,0,0,0
129,80,129.69637003919257,66,5,9,0,0,0,0
130,80,128.89637003919262,64,10,6,0,0,0,0
131,80,128.09637003919266,64,10,6,0,0,0,0
132,80,127.28837003919267,67,7,6,0,0,0,0
133,80,126.47229003919267,67,7,6,0,0,0,0
134,80,125.64804923919269,66,8,6,0,0,0,0
135,80,125.2318076351927,66,10,4,0,0,0,0
136,80,125.0216056251727,66,11,3,0,0,0,0
137,80,129.8093015950525,67,9,4,0,0,0,0
138,80,129.38044745420967,68,8,4,0,0,0,0
139,80,128.94730477195844,68,7,5,0,0,0,0
140,81,128.29109360834786,68,7,5,1,0,0,0
141,81,127.62832033310113,68,8,4,1,0,0,0
142,81,126.95891932510193,68,8,4,1,0,0,0
143,81,126.50818931304914,68,9,3,1,0,0,0
144,81,126.05295200087582,68,9,3,1,0,0,0
145,81,125.59316231558077,68,9,3,1,0,0,0
146,82,129.89658094235878,69,8,3,2,0,0,0
147,82,128.9585180264198,69,8,3,2,0,0,0
148,83,128.0110744813214,69,8,3,3,0,0,0
149,84,131.81492700563473,69,7,4,4,0,0,0
150,84,130.6149270056348,68,9,3,4,0,0,0
151,84,129.41492700563487,69,8,3,4,0,0,0
152,84,133.21492700563493,69,7,4,4,0,0,0
153,85,132.014927005635,69,6,5,5,0,0,0
154,85,130.81492700563507,69,6,5,5,0,0,0
155,85,134.61492700563514,71,3,6,5,0,0,0
156,85,133.21492700563522,69,5,6,5,0,0,0
157,85,137.0149270056353,69,5,6,5,0,0,0
158,85,135.61492700563537,69,5,6,5,0,0,0
159,85,134.21492700563545,71,4,5,5,0,0,0
160,85,132.81492700563552,71,4,5,5,0,0,0
161,85,131.4149270056356,70,5,5,5,0,0,0
162,85,130.01492700563568,69,6,5,5,0,0,0
163,85,133.61492700563576,68,6,6,5,0,0,0
164,85,132.01492700563585,69,5,6,5,0,0,0
165,85,130.41492700563595,69,5,6,5,0,0,0
166,85,128.81492700563604,69,5,6,5,0,0,0
167,85,127.21492700563607,68,6,6,5,0,0,0
168,85,125.81492700563605,68,7,5,5,0,0,0
169,85,129.41492700563612,68,6,6,5,0,0,0
170,85,127.81492700563619,68,6,6,5,0,0,0
171,85,131.2149270056363,67,6,7,5,0,0,0
172,85,129.4149270056364,67,6,7,5,0,0,0
